,isbn13,isbn10,title,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,title_and_subtitle,tagged_description
997,9780195108965,0195108965,Notebooks of the Mind,Vera John-Steiner,Psychology,http://books.google.com/books/content?id=uj1RDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"How do creative people think? Do great works of the imagination originate in words or in images? Is there a rational explanation for the sudden appearance of geniuses like Mozart or Einstein? Such questions have fascinated people for centuries; only in recent years, however, has cognitive psychology been able to provide some clues to the mysterious process of creativity. In this revised edition of Notebooks of the Mind, Vera John-Steiner combines imaginative insight with scientific precision to produce a startling account of the human mind working at its highest potential. To approach her subject John-Steiner goes directly to the source, assembling the thoughts of ""experienced thinkers""--artists, philosophers, writers, and scientists able to reflect on their own imaginative patterns. More than fifty interviews (with figures ranging from Jessica Mitford to Aaron Copland), along with excerpts from the diaries, letters, and autobiographies of such gifted giants as Leo Tolstoy, Marie Curie, and Diego Rivera, among others, provide illuminating insights into creative activity. We read, for example, of Darwin's preoccupation with the image of nature as a branched tree while working on his concept of evolution. Mozart testifies to the vital influence on his mature art of the wondrous ""bag of memories"" he retained from childhood. Anais Nin describes her sense of words as oppressive, explaining how imagistic free association freed her as a writer. Adding these personal accounts to laboratory studies of thought process, John-Steiner takes a refreshingly holistic approach to the question of creativity. What emerges is an intriguing demonstration of how specific sociocultural circumstances interact with certain personality traits to encourage the creative mind. Among the topics examined here are the importance of childhood mentor figures; the lengthy apprenticeship of the talented person; and the development of self- expression through highly individualistic languages, whether in images, movement or inner speech. Now, with a new introduction, this award-winning book provides an uniquely broad-based study of the origins, development and fruits of human inspiration.",1997.0,3.81,288.0,17.0,Notebooks of the Mind: Explorations of Thinking,"9780195108965 How do creative people think? Do great works of the imagination originate in words or in images? Is there a rational explanation for the sudden appearance of geniuses like Mozart or Einstein? Such questions have fascinated people for centuries; only in recent years, however, has cognitive psychology been able to provide some clues to the mysterious process of creativity. In this revised edition of Notebooks of the Mind, Vera John-Steiner combines imaginative insight with scientific precision to produce a startling account of the human mind working at its highest potential. To approach her subject John-Steiner goes directly to the source, assembling the thoughts of ""experienced thinkers""--artists, philosophers, writers, and scientists able to reflect on their own imaginative patterns. More than fifty interviews (with figures ranging from Jessica Mitford to Aaron Copland), along with excerpts from the diaries, letters, and autobiographies of such gifted giants as Leo Tolstoy, Marie Curie, and Diego Rivera, among others, provide illuminating insights into creative activity. We read, for example, of Darwin's preoccupation with the image of nature as a branched tree while working on his concept of evolution. Mozart testifies to the vital influence on his mature art of the wondrous ""bag of memories"" he retained from childhood. Anais Nin describes her sense of words as oppressive, explaining how imagistic free association freed her as a writer. Adding these personal accounts to laboratory studies of thought process, John-Steiner takes a refreshingly holistic approach to the question of creativity. What emerges is an intriguing demonstration of how specific sociocultural circumstances interact with certain personality traits to encourage the creative mind. Among the topics examined here are the importance of childhood mentor figures; the lengthy apprenticeship of the talented person; and the development of self- expression through highly individualistic languages, whether in images, movement or inner speech. Now, with a new introduction, this award-winning book provides an uniquely broad-based study of the origins, development and fruits of human inspiration."
1005,9780195145816,019514581X,Philosophy of Mind,David John Chalmers,Philosophy,http://books.google.com/books/content?id=rtEo8PRjpVoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This is a comprehensive collection of readings in the philosophy of mind, ranging from Descartes to the leading edge of the discipline. Extensive selections cover foundations, the nature of consciousness, and the nature of mental content.",2002.0,4.07,675.0,414.0,Philosophy of Mind: Classical and Contemporary Readings,"9780195145816 This is a comprehensive collection of readings in the philosophy of mind, ranging from Descartes to the leading edge of the discipline. Extensive selections cover foundations, the nature of consciousness, and the nature of mental content."
1108,9780285647473,0285647474,Zen Buddhism & Psychoanalysis,Daisetz Teitaro Suzuki;Erich Fromm;Richard De Martino,Psychoanalysis and religion,http://books.google.com/books/content?id=wMEAJwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The key book in our quest for understanding of ourselves and our lives.What differences are there in Eastern and Western thought regarding the nature of the human mind and our role in the cosmos? How can Zen and psychoanalysis help us in our struggle to realise our full potential as human beings and members of society?Erich Fromm's seminal work among contemporary efforts to resolve our spiritual crisis results here in the great achievement of a language to reveal the contributions of Zen and psychoanalysis to our 'struggle to be fully born'. He shows how both can teach us in their different ways to live our lives rather than be 'lived by them'.D.T. Suzuki explains with profound and gentle wisdom how Western materialism and intellectualism contrast with the Eastern concept of acceptance as the basis of well-being for the 'whole man'. His illuminating discussion of the unconscious and the self shed fresh light on our understanding of our own nature.Combined with Richard De Martino's clear account of the psychology of Zen, these writings make up a work of brilliance and value that has much to help us in our quest for understanding.",1974.0,3.94,188.0,517.0,Zen Buddhism & Psychoanalysis,"9780285647473 The key book in our quest for understanding of ourselves and our lives.What differences are there in Eastern and Western thought regarding the nature of the human mind and our role in the cosmos? How can Zen and psychoanalysis help us in our struggle to realise our full potential as human beings and members of society?Erich Fromm's seminal work among contemporary efforts to resolve our spiritual crisis results here in the great achievement of a language to reveal the contributions of Zen and psychoanalysis to our 'struggle to be fully born'. He shows how both can teach us in their different ways to live our lives rather than be 'lived by them'.D.T. Suzuki explains with profound and gentle wisdom how Western materialism and intellectualism contrast with the Eastern concept of acceptance as the basis of well-being for the 'whole man'. His illuminating discussion of the unconscious and the self shed fresh light on our understanding of our own nature.Combined with Richard De Martino's clear account of the psychology of Zen, these writings make up a work of brilliance and value that has much to help us in our quest for understanding."
1117,9780300000894,0300000898,Psychoanalysis and Religion,Erich Fromm,Psychology,http://books.google.com/books/content?id=gtAgGreKUcEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"A noted psychoanalyst assesses the modern issue between traditional religion and a philosophy that takes as the sole aim in life the satisfaction of instinctive and material values. ""A daring book to have cast into the midst of the world's excitements, for it will itself breed new excitements...it is not a book to be missed by those interested in man's spiritual growth.""--New York Times",1950.0,4.04,126.0,822.0,Psychoanalysis and Religion,"9780300000894 A noted psychoanalyst assesses the modern issue between traditional religion and a philosophy that takes as the sole aim in life the satisfaction of instinctive and material values. ""A daring book to have cast into the midst of the world's excitements, for it will itself breed new excitements...it is not a book to be missed by those interested in man's spiritual growth.""--New York Times"
1449,9780345346292,0345346297,The Dragons of Eden,Carl Sagan,Nature,http://books.google.com/books/content?id=Nmkozwd_gfYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,The well-known astronomer and astrobiologist surveys current knowledge of the development of intelligence on Earth in various forms of life and explains his persuasion that intelligence must have developed along similar lines throughout the universe,1977.0,4.17,271.0,14974.0,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,9780345346292 The well-known astronomer and astrobiologist surveys current knowledge of the development of intelligence on Earth in various forms of life and explains his persuasion that intelligence must have developed along similar lines throughout the universe
1853,9780385495172,038549517X,The Mating Mind,Geoffrey Miller,Psychology,http://books.google.com/books/content?id=pJfoKtG1n2wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Drawing on the latest research in evolutionary biology, a groundbreaking study of the link between evolution and human sexuality argues that the development of the human brain can be linked to the need to attract and win sexual partners. Reprint. 10,000 first printing.",2000.0,4.09,528.0,2057.0,The Mating Mind: How Sexual Choice Shaped the Evolution of Human Nature,"9780385495172 Drawing on the latest research in evolutionary biology, a groundbreaking study of the link between evolution and human sexuality argues that the development of the human brain can be linked to the need to attract and win sexual partners. Reprint. 10,000 first printing."
1903,9780393308198,0393308197,The Panda's Thumb,Stephen Jay Gould,Science,http://books.google.com/books/content?id=El7dRJiKCHAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In a series of essays giving careful consideration to the theory of evolution, Gould examines some of the more intriguing mysteries of the topic, studying the Piltdown Man hoax, the deceleration of earth's rotation, and other phenomena",1992.0,4.11,352.0,5642.0,The Panda's Thumb: More Reflections in Natural History,"9780393308198 In a series of essays giving careful consideration to the theory of evolution, Gould examines some of the more intriguing mysteries of the topic, studying the Piltdown Man hoax, the deceleration of earth's rotation, and other phenomena"
1905,9780393311037,0393311031,Hen's Teeth and Horse's Toes,Stephen Jay Gould,Nature,http://books.google.com/books/content?id=EPh9jD0XwR4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A collection of essays answers questions about key scientific concepts, focusing, in particular, on Darwin's theory of evolution, natural selection, and its impact on biology, natural history, and modern science",1994.0,4.1,416.0,1680.0,Hen's Teeth and Horse's Toes,"9780393311037 A collection of essays answers questions about key scientific concepts, focusing, in particular, on Darwin's theory of evolution, natural selection, and its impact on biology, natural history, and modern science"
1974,9780395877432,0395877431,Demonic Males,Richard W. Wrangham;Dale Peterson,Nature,http://books.google.com/books/content?id=fP0c4b3jbMYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Draws on recent discoveries about human evolution to examine whether violence among men is a product of their primitive heritage, and searches for solutions to the problems of war, rape, and murder",1996.0,4.02,368.0,662.0,Demonic Males: Apes and the Origins of Human Violence,"9780395877432 Draws on recent discoveries about human evolution to examine whether violence among men is a product of their primitive heritage, and searches for solutions to the problems of war, rape, and murder"
2261,9780446518628,044651862X,The Celestine Prophecy,James Redfield,Fiction,http://books.google.com/books/content?id=UXolxgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"You have never read a book like this before -- a book that comes along once in a lifetime to change lives forever. In the rain forests of Peru, an ancient manuscript has been discovered. Within its pages are 9 key insights into life itself -- insights each human being is predicted to grasp sequentially; one insight, then another, as we move toward a completely spiritual culture on Earth. Drawing on ancient wisdom, it tells you how to make connections among the events happening in your life right now and lets you see what is going to happen to you in the years to come. The story it tells is a gripping one of adventure and discovery, but it is also a guidebook that has the power to crystallize your perceptions of why you are where you are in life and to direct your steps with a new energy and optimisim as you head into tomorrow.",1994.0,3.63,247.0,1280.0,The Celestine Prophecy: An Adventure,"9780446518628 You have never read a book like this before -- a book that comes along once in a lifetime to change lives forever. In the rain forests of Peru, an ancient manuscript has been discovered. Within its pages are 9 key insights into life itself -- insights each human being is predicted to grasp sequentially; one insight, then another, as we move toward a completely spiritual culture on Earth. Drawing on ancient wisdom, it tells you how to make connections among the events happening in your life right now and lets you see what is going to happen to you in the years to come. The story it tells is a gripping one of adventure and discovery, but it is also a guidebook that has the power to crystallize your perceptions of why you are where you are in life and to direct your steps with a new energy and optimisim as you head into tomorrow."
2418,9780451528308,0451528301,Ten Great Works of Philosophy,Robert Paul Wolff,Fiction,http://books.google.com/books/content?id=uMxnFS4jS88C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"From ancient Greece to 19th-century America, this collection traces the history of civilization through the seminal works of its most influential thinkers including Plato, Aristotle, St. Thomas Aquinas, John Stuart Mill, and others.",2002.0,3.82,592.0,85.0,Ten Great Works of Philosophy,"9780451528308 From ancient Greece to 19th-century America, this collection traces the history of civilization through the seminal works of its most influential thinkers including Plato, Aristotle, St. Thomas Aquinas, John Stuart Mill, and others."
2460,9780465031269,0465031269,Why is sex fun?,Jared M. Diamond,Health & Fitness,http://books.google.com/books/content?id=e7IPAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Why are humans one of the few species to have sex in private? Why are human females the only mammals to go through menopause? Why is the human penis so unnecessarily large? There is no more knowledgeable authority than the award-winning author of THE THIRD CHIMPANZEE to answer these intriguing questions. Here is a delightfully entertaining and enlightening look at the unique sex lives of humans.,1997.0,3.71,176.0,4256.0,Why is sex fun?: the evolution of human sexuality,9780465031269 Why are humans one of the few species to have sex in private? Why are human females the only mammals to go through menopause? Why is the human penis so unnecessarily large? There is no more knowledgeable authority than the award-winning author of THE THIRD CHIMPANZEE to answer these intriguing questions. Here is a delightfully entertaining and enlightening look at the unique sex lives of humans.
2462,9780465056743,0465056741,Philosophy In The Flesh,George Lakoff,Philosophy,http://books.google.com/books/content?id=csAStAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"What are human beings like? How is knowledge possible? What is truth? Where do moral values come from? Questions like these have stood at the center of Western philosophy for centuries. In addressing them, philosophers have made certain fundamental assumptions-that we can know our own minds by introspection, that most of our thinking about the world is literal, and that reason is disembodied and universal-that are now called into question by well-established results of cognitive science. It has been shown empirically that:Most thought is unconscious. We have no direct conscious access to the mechanisms of thought and language. Our ideas go by too quickly and at too deep a level for us to observe them in any simple way.Abstract concepts are mostly metaphorical. Much of the subject matter of philosopy, such as the nature of time, morality, causation, the mind, and the self, relies heavily on basic metaphors derived from bodily experience. What is literal in our reasoning about such concepts is minimal and conceptually impoverished. All the richness comes from metaphor. For instance, we have two mutually incompatible metaphors for time, both of which represent it as movement through space: in one it is a flow past us and in the other a spatial dimension we move along.Mind is embodied. Thought requires a body-not in the trivial sense that you need a physical brain to think with, but in the profound sense that the very structure of our thoughts comes from the nature of the body. Nearly all of our unconscious metaphors are based on common bodily experiences.Most of the central themes of the Western philosophical tradition are called into question by these findings. The Cartesian person, with a mind wholly separate from the body, does not exist. The Kantian person, capable of moral action according to the dictates of a universal reason, does not exist. The phenomenological person, capable of knowing his or her mind entirely through introspection alone, does not exist. The utilitarian person, the Chomskian person, the poststructuralist person, the computational person, and the person defined by analytic philosopy all do not exist.Then what does?Lakoff and Johnson show that a philosopy responsible to the science of mind offers radically new and detailed understandings of what a person is. After first describing the philosophical stance that must follow from taking cognitive science seriously, they re-examine the basic concepts of the mind, time, causation, morality, and the self: then they rethink a host of philosophical traditions, from the classical Greeks through Kantian morality through modern analytic philosopy. They reveal the metaphorical structure underlying each mode of thought and show how the metaphysics of each theory flows from its metaphors. Finally, they take on two major issues of twentieth-century philosopy: how we conceive rationality, and how we conceive language.",1999.0,4.07,640.0,1100.0,Philosophy In The Flesh,"9780465056743 What are human beings like? How is knowledge possible? What is truth? Where do moral values come from? Questions like these have stood at the center of Western philosophy for centuries. In addressing them, philosophers have made certain fundamental assumptions-that we can know our own minds by introspection, that most of our thinking about the world is literal, and that reason is disembodied and universal-that are now called into question by well-established results of cognitive science. It has been shown empirically that:Most thought is unconscious. We have no direct conscious access to the mechanisms of thought and language. Our ideas go by too quickly and at too deep a level for us to observe them in any simple way.Abstract concepts are mostly metaphorical. Much of the subject matter of philosopy, such as the nature of time, morality, causation, the mind, and the self, relies heavily on basic metaphors derived from bodily experience. What is literal in our reasoning about such concepts is minimal and conceptually impoverished. All the richness comes from metaphor. For instance, we have two mutually incompatible metaphors for time, both of which represent it as movement through space: in one it is a flow past us and in the other a spatial dimension we move along.Mind is embodied. Thought requires a body-not in the trivial sense that you need a physical brain to think with, but in the profound sense that the very structure of our thoughts comes from the nature of the body. Nearly all of our unconscious metaphors are based on common bodily experiences.Most of the central themes of the Western philosophical tradition are called into question by these findings. The Cartesian person, with a mind wholly separate from the body, does not exist. The Kantian person, capable of moral action according to the dictates of a universal reason, does not exist. The phenomenological person, capable of knowing his or her mind entirely through introspection alone, does not exist. The utilitarian person, the Chomskian person, the poststructuralist person, the computational person, and the person defined by analytic philosopy all do not exist.Then what does?Lakoff and Johnson show that a philosopy responsible to the science of mind offers radically new and detailed understandings of what a person is. After first describing the philosophical stance that must follow from taking cognitive science seriously, they re-examine the basic concepts of the mind, time, causation, morality, and the self: then they rethink a host of philosophical traditions, from the classical Greeks through Kantian morality through modern analytic philosopy. They reveal the metaphorical structure underlying each mode of thought and show how the metaphysics of each theory flows from its metaphors. Finally, they take on two major issues of twentieth-century philosopy: how we conceive rationality, and how we conceive language."
2476,9780471133124,0471133124,Extraordinary Popular Delusions and the Madness of Crowds and ConfusiÃ3n de Confusiones,Charles Mackay,Business & Economics,http://books.google.com/books/content?id=h23HW5EJnyEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"A study of crowd behavior includes two landmark books of the past, Extraordinary Popular Delusions and the Madness of Crowds and Confusions de Confusions, that show how markets are shaped by the fluctuations of mob psychology. Reprint.",1996.0,3.91,224.0,34.0,Extraordinary Popular Delusions and the Madness of Crowds and ConfusiÃ3n de Confusiones,"9780471133124 A study of crowd behavior includes two landmark books of the past, Extraordinary Popular Delusions and the Madness of Crowds and Confusions de Confusions, that show how markets are shaped by the fluctuations of mob psychology. Reprint."
2526,9780486434148,0486434141,Discourse on the Origin of Inequality,Jean-Jacques Rousseau,Philosophy,http://books.google.com/books/content?id=UNooAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"A strikingly original inquiry into politics and human nature, the Discourse presents a theoretical view of people in a pre-social condition and the ensuing effects of civilization. The author develops a theory of evolution that prefigures Darwinism and encompasses aspects of ethics, sociology, and epistemology. One of the most influential works of the Enlightenment.",2004.0,3.83,73.0,9630.0,Discourse on the Origin of Inequality,"9780486434148 A strikingly original inquiry into politics and human nature, the Discourse presents a theoretical view of people in a pre-social condition and the ensuing effects of civilization. The author develops a theory of evolution that prefigures Darwinism and encompasses aspects of ethics, sociology, and epistemology. One of the most influential works of the Enlightenment."
2595,9780521288842,0521288843,Evolution and the Theory of Games,John Maynard Smith,Science,http://books.google.com/books/content?id=Nag2IhmPS3gC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"In this 1982 book, the theory of games, first developed to analyse economic behaviour, is modified so that it can be applied to evolving populations. John Maynard Smith's concept of an evolutionarily stable strategy is relevant whenever the best thing for an animal or plant to do depends on what others are doing. The theory leads to testable predictions about the evolution of behaviour, of sex and genetic systems, and of growth and life history patterns. This book contains a full account of the theory, and of the data relevant to it. The account is aimed at senior undergraduate and graduate students, teachers and research workers in animal behaviour, population genetics and evolutionary biology. The book will also be of interest to mathematicians and game theorists; the mathematics has been largely confined to appendixes so that the main text may be easily followed by biologists.",1982.0,4.0,234.0,80.0,Evolution and the Theory of Games,"9780521288842 In this 1982 book, the theory of games, first developed to analyse economic behaviour, is modified so that it can be applied to evolving populations. John Maynard Smith's concept of an evolutionarily stable strategy is relevant whenever the best thing for an animal or plant to do depends on what others are doing. The theory leads to testable predictions about the evolution of behaviour, of sex and genetic systems, and of growth and life history patterns. This book contains a full account of the theory, and of the data relevant to it. The account is aimed at senior undergraduate and graduate students, teachers and research workers in animal behaviour, population genetics and evolutionary biology. The book will also be of interest to mathematicians and game theorists; the mathematics has been largely confined to appendixes so that the main text may be easily followed by biologists."
