,isbn13,isbn10,title,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,title_and_subtitle,tagged_description
1137,9780307264121,0307264122,The Spy Who Barked,George Edward Stanley,Juvenile Fiction,http://books.google.com/books/content?id=jykzxgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Eight-year-old spy Adam Sharp pursues the very short Ambassador of Barkastan, who has stolen a top secret computer program, DOGBARK, that will let him understand the language of dogs.",2002.0,3.47,48.0,24.0,The Spy Who Barked,"9780307264121 Eight-year-old spy Adam Sharp pursues the very short Ambassador of Barkastan, who has stolen a top secret computer program, DOGBARK, that will let him understand the language of dogs."
1255,9780312423131,0312423136,Galatea 2.2,Richard Powers,Fiction,http://books.google.com/books/content?id=ttcEu4iDvnYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The protagonist, a Humanist-in-Residence at the center for Advanced Scientific Research, gets involved with a project to train a machine to pass a comprehensive exam in English literature--and with the degree candidate against whom the machine is competing. Reprint.",2004.0,3.72,329.0,2063.0,Galatea 2.2: A Novel,"9780312423131 The protagonist, a Humanist-in-Residence at the center for Advanced Scientific Research, gets involved with a project to train a machine to pass a comprehensive exam in English literature--and with the degree candidate against whom the machine is competing. Reprint."
1449,9780345346292,0345346297,The Dragons of Eden,Carl Sagan,Nature,http://books.google.com/books/content?id=Nmkozwd_gfYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,The well-known astronomer and astrobiologist surveys current knowledge of the development of intelligence on Earth in various forms of life and explains his persuasion that intelligence must have developed along similar lines throughout the universe,1977.0,4.17,271.0,14974.0,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,9780345346292 The well-known astronomer and astrobiologist surveys current knowledge of the development of intelligence on Earth in various forms of life and explains his persuasion that intelligence must have developed along similar lines throughout the universe
1652,9780374528539,0374528535,"Get Out of My Life, But First Could You Drive Me & Cheryl to the Mall",Anthony E. Wolf,Family & Relationships,http://books.google.com/books/content?id=oKdbCk_05wQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A lighthearted but insightful guide to raising adolescent children shows parents how to deal with teenagers living in a faster-paced, less morally certain world than the one they knew. Original. 50,000 first printing.",2002.0,3.94,240.0,1301.0,"Get Out of My Life, But First Could You Drive Me & Cheryl to the Mall: A Parent's Guide to the New Teenager","9780374528539 A lighthearted but insightful guide to raising adolescent children shows parents how to deal with teenagers living in a faster-paced, less morally certain world than the one they knew. Original. 50,000 first printing."
1880,9780385732550,0385732554,The Giver,Lois Lowry,Juvenile Fiction,http://books.google.com/books/content?id=oZRlYDfxXpQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"At the age of twelve, Jonas, a young boy from a seemingly utopian, futuristic world, is singled out to receive special training from The Giver, who alone holds the memories of the true joys and pain of life. An ALA Notable Book for Children & Newbery Medal Winner. Reissue.",2006.0,4.12,208.0,1464909.0,The Giver,"9780385732550 At the age of twelve, Jonas, a young boy from a seemingly utopian, futuristic world, is singled out to receive special training from The Giver, who alone holds the memories of the true joys and pain of life. An ALA Notable Book for Children & Newbery Medal Winner. Reissue."
1888,9780393040586,0393040585,The Confident Child,T. E. Apter,Family & Relationships,http://books.google.com/books/content?id=stxpQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Focusing on children from age five to fifteen, the author shows parents how to help their children acquire self-esteem, problem-solving ability, social skills, and emotional control, and how to detect dangers to self-esteem during adolescence.",1997.0,3.62,270.0,13.0,"The Confident Child: Raising a Child to Try, Learn, and Care","9780393040586 Focusing on children from age five to fifteen, the author shows parents how to help their children acquire self-esteem, problem-solving ability, social skills, and emotional control, and how to detect dangers to self-esteem during adolescence."
1998,9780415926324,0415926327,Chomsky on Democracy & Education,Noam Chomsky;Carlos Peregrín Otero,Education,http://books.google.com/books/content?id=3ORu91WxxL4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"This volume draws together a range of Chomsky's writings arguing that the goal of education is to produce free human beings whose values are not accumulation and domination, but rather free association on terms of equality.",2003.0,3.93,480.0,80.0,Chomsky on Democracy & Education,"9780415926324 This volume draws together a range of Chomsky's writings arguing that the goal of education is to produce free human beings whose values are not accumulation and domination, but rather free association on terms of equality."
2154,9780439872461,0439872464,The Trouble with Violet,Anne Mazer,Juvenile Fiction,http://books.google.com/books/content?id=Z6kSpF19og0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When strange things start happening and eight-year-old Mabel, who is very sensible, cannot figure them out, she discovers a family secret that affects her younger sister Violet.",2007.0,3.9,112.0,221.0,The Trouble with Violet,"9780439872461 When strange things start happening and eight-year-old Mabel, who is very sensible, cannot figure them out, she discovers a family secret that affects her younger sister Violet."
2218,9780440506812,0440506816,Your Eight Year Old,Louise Bates Ames;Carol Chase Haber,Family & Relationships,,"The eight-year-old child is an exuberant, outgoing bundle of energy; he meets every challenge head-on, willing to try almost anything. Sometimes parents are amazed at the enthusiasm and excitement with which their child greets the world. However, eight is also a time when the child begins to do a great deal of analyzing and evaluating, finding fault in himself and others--especially Mohter. How do parents help an eight-year-old through this up-and-down age? What should parents expect in their relationships with the child and how can life in the family be made easier? What will the child's relationship with friends and siblings be like? In the successful tradition of the Gesell institute series,Your Eight-Year-Oldis a well-researched, highly accessible guide.",1990.0,3.88,160.0,177.0,Your Eight Year Old: Lively and Outgoing,"9780440506812 The eight-year-old child is an exuberant, outgoing bundle of energy; he meets every challenge head-on, willing to try almost anything. Sometimes parents are amazed at the enthusiasm and excitement with which their child greets the world. However, eight is also a time when the child begins to do a great deal of analyzing and evaluating, finding fault in himself and others--especially Mohter. How do parents help an eight-year-old through this up-and-down age? What should parents expect in their relationships with the child and how can life in the family be made easier? What will the child's relationship with friends and siblings be like? In the successful tradition of the Gesell institute series,Your Eight-Year-Oldis a well-researched, highly accessible guide."
2405,9780451450647,0451450647,Robot Visions,Isaac Asimov,Fiction,http://books.google.com/books/content?id=6lYJAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Spanning Asimov's fifty-year career, this collection of eighteen stories and essays offers a visionary study of humanity's future relationship with robots, including both classic and original pieces, all based on Asimov's three laws of robotics. Reissue.",1991.0,4.22,496.0,7425.0,Robot Visions,"9780451450647 Spanning Asimov's fifty-year career, this collection of eighteen stories and essays offers a visionary study of humanity's future relationship with robots, including both classic and original pieces, all based on Asimov's three laws of robotics. Reissue."
2489,9780471773863,0471773867,Baby Signing For Dummies,Jennifer Watson,Family & Relationships,http://books.google.com/books/content?id=75MH8vwXyBwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Packed with more than 100 clearly illustrated signs, along with baby-specific signing techniques, and stories and games to make learning fun, this easy-to-use guide helps to strengthen the parent-child bond, includes tips on incorporating baby signs into the daycare setting, and even helps babies develop an IQ advantage over infants who do not sign.",2006.0,3.63,257.0,36.0,Baby Signing For Dummies,"9780471773863 Packed with more than 100 clearly illustrated signs, along with baby-specific signing techniques, and stories and games to make learning fun, this easy-to-use guide helps to strengthen the parent-child bond, includes tips on incorporating baby signs into the daycare setting, and even helps babies develop an IQ advantage over infants who do not sign."
2658,9780553103748,0553103741,The Illustrated a Brief History of Time,Stephen Hawking,Science,http://books.google.com/books/content?id=wDr8uQ_vITQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An illustrated, large-format edition of the best-seller has been expanded to encompass the remarkable advances that have occurred in science and technology over the past eight years, with a new chapter on Wormholes and Time Travel and more than 240 full-color, captioned illustrations. 100,000 first printing.",1996.0,4.16,256.0,750.0,The Illustrated a Brief History of Time,"9780553103748 An illustrated, large-format edition of the best-seller has been expanded to encompass the remarkable advances that have occurred in science and technology over the past eight years, with a new chapter on Wormholes and Time Travel and more than 240 full-color, captioned illustrations. 100,000 first printing."
2709,9780553380965,0553380966,The Diamond Age,Neal Stephenson,Fiction,http://books.google.com/books/content?id=LIWY6afN5kQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,The story of an engineer who creates a device to raise a girl capable of thinking for herself reveals what happens when a young girl of the poor underclass obtains the device.,2000.0,4.19,499.0,68751.0,The Diamond Age,9780553380965 The story of an engineer who creates a device to raise a girl capable of thinking for herself reveals what happens when a young girl of the poor underclass obtains the device.
2791,9780553803525,0553803522,Social Intelligence,Daniel Goleman,Psychology,http://books.google.com/books/content?id=akQLxTM-5_8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The best-selling author of Emotional Intelligence redefines the nature of human relationships and its impact on every aspect of daily life, bringing together the latest research in biology and brain science to reveal how one's daily encounters shape the brain and affect the body, from daily mood to the immune response. 250,000 first printing.",2006.0,3.98,403.0,9957.0,Social Intelligence: The New Science of Human Relationships,"9780553803525 The best-selling author of Emotional Intelligence redefines the nature of human relationships and its impact on every aspect of daily life, bringing together the latest research in biology and brain science to reveal how one's daily encounters shape the brain and affect the body, from daily mood to the immune response. 250,000 first printing."
2870,9780590956161,0590956167,The Meanest Thing to Say,Bill Cosby;Varnette P. Honeywood,Juvenile Fiction,http://books.google.com/books/content?id=BCaaNgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When a new boy in his second grade class tries to get the other students to play a game that involves saying the meanest things possible to one another, Little Bill shows him a better way to make friends.",1997.0,3.53,40.0,956.0,The Meanest Thing to Say,"9780590956161 When a new boy in his second grade class tries to get the other students to play a game that involves saying the meanest things possible to one another, Little Bill shows him a better way to make friends."
2871,9780590975001,0590975005,The BFG,Roald Dahl,Dreams,http://books.google.com/books/content?id=Az9hbS7zbuUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Summary: Kidnapped from her orphanage by a BFG (Big Friendly Giant), who spends his life blowing happy dreams to children, Sophie concocts with him a plan to save the world from nine other man-gobbling cannibal giants.",1982.0,4.22,207.0,99.0,The BFG,"9780590975001 Summary: Kidnapped from her orphanage by a BFG (Big Friendly Giant), who spends his life blowing happy dreams to children, Sophie concocts with him a plan to save the world from nine other man-gobbling cannibal giants."
2873,9780593040591,0593040597,The Illustrated A Brief History of Time,Stephen W. Hawking,Cosmology,http://books.google.com/books/content?id=pe7TOAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This is Stephen Hawking's updated, expanded and illustrated edition of his celebrated work which includes the most recent developments in the field, many of which were forecast by him. At the same time, he explains his complex theories through a fresh visual dimension. Over one hunded and fifty stunning colour illustrations have been specially commissioned for this purpose to help the reader understand what have become popular mythic images of our century, but which nonetheless remain difficult, abstract ideas to grasp. It includes a new introduction written specially for this edition.",1996.0,4.16,259.0,307.0,The Illustrated A Brief History of Time,"9780593040591 This is Stephen Hawking's updated, expanded and illustrated edition of his celebrated work which includes the most recent developments in the field, many of which were forecast by him. At the same time, he explains his complex theories through a fresh visual dimension. Over one hunded and fifty stunning colour illustrations have been specially commissioned for this purpose to help the reader understand what have become popular mythic images of our century, but which nonetheless remain difficult, abstract ideas to grasp. It includes a new introduction written specially for this edition."
2937,9780618685509,0618685502,Gossamer,Lois Lowry,Juvenile Fiction,http://books.google.com/books/content?id=4vJZmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"While learning to bestow dreams, a young dream giver tries to save an eight-year-old boy from the effects of both his abusive past and the nightmares inflicted on him by the frightening Sinisteeds. 100,000 first printing.",2006.0,3.89,144.0,13463.0,Gossamer,"9780618685509 While learning to bestow dreams, a young dream giver tries to save an eight-year-old boy from the effects of both his abusive past and the nightmares inflicted on him by the frightening Sinisteeds. 100,000 first printing."
3000,9780671631987,0671631985,Teach Your Child to Read in 100 Easy Lessons,Siegfried Engelmann;Phyllis Haddox;Elaine Bruner,Education,http://books.google.com/books/content?id=MUucJV0dRaIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"With more than half a million copies in print, Teach Your Child to Read in 100 Easy Lessons is the definitive guide to giving your child the reading skills needed now for a better chance at tomorrow, while bringing you and your child closer together. Is your child halfway through first grade and still unable to read? Is your preschooler bored with coloring and ready for reading? Do you want to help your child read, but are afraid you’ll do something wrong? Teach Your Child to Read in 100 Easy Lessons is a complete, step-by-step program that shows patents simply and clearly how to teach their children to read. Twenty minutes a day is all you need, and within 100 teaching days your child will be reading on a solid second-grade reading level. It’s a sensible, easy-to-follow, and enjoyable way to help your child gain the essential skills of reading. Everything you need is here—no paste, no scissors, no flash cards, no complicated directions—just you and your child learning together. One hundred lessons, fully illustrated and color-coded for clarity, give your child the basic and more advanced skills needed to become a good reader.",1986.0,4.15,395.0,2083.0,Teach Your Child to Read in 100 Easy Lessons,"9780671631987 With more than half a million copies in print, Teach Your Child to Read in 100 Easy Lessons is the definitive guide to giving your child the reading skills needed now for a better chance at tomorrow, while bringing you and your child closer together. Is your child halfway through first grade and still unable to read? Is your preschooler bored with coloring and ready for reading? Do you want to help your child read, but are afraid you’ll do something wrong? Teach Your Child to Read in 100 Easy Lessons is a complete, step-by-step program that shows patents simply and clearly how to teach their children to read. Twenty minutes a day is all you need, and within 100 teaching days your child will be reading on a solid second-grade reading level. It’s a sensible, easy-to-follow, and enjoyable way to help your child gain the essential skills of reading. Everything you need is here—no paste, no scissors, no flash cards, no complicated directions—just you and your child learning together. One hundred lessons, fully illustrated and color-coded for clarity, give your child the basic and more advanced skills needed to become a good reader."
3038,9780674644847,0674644840,Origins of the Modern Mind,Merlin Donald,Medical,http://books.google.com/books/content?id=4Sk4vWkrUAgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"This bold and brilliant book asks the ultimate question of life sciences: How did the human mind acquire its incomparable power? Origins of the Modern Mind traces the evolution of human culture and cognition from primitive apes to the era of artificial intelligence, and presents an original theory of how the human mind evolved from its presymbolic form. Illustrated with line drawings.",1991.0,4.17,424.0,88.0,Origins of the Modern Mind: Three Stages in the Evolution of Culture and Cognition,"9780674644847 This bold and brilliant book asks the ultimate question of life sciences: How did the human mind acquire its incomparable power? Origins of the Modern Mind traces the evolution of human culture and cognition from primitive apes to the era of artificial intelligence, and presents an original theory of how the human mind evolved from its presymbolic form. Illustrated with line drawings."
3217,9780689868016,0689868014,Rash,Pete Hautman,Juvenile Fiction,http://books.google.com/books/content?id=JMRcoWAp_ewC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"In a future society that has decided it would ""rather be safe than free,"" sixteen-year-old Bo's anger control problems land him in a tundra jail where he survives with the help of his running skills and an artificial intelligence program named Bork.",2006.0,3.75,256.0,2927.0,Rash,"9780689868016 In a future society that has decided it would ""rather be safe than free,"" sixteen-year-old Bo's anger control problems land him in a tundra jail where he survives with the help of his running skills and an artificial intelligence program named Bork."
3295,9780742529786,0742529789,Chomsky on Miseducation,Noam Chomsky,Education,http://books.google.com/books/content?id=5tI8-zT5IGEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"This collection of Chomsky's influential writings on education builds a larger understanding of our educational needs, starting with the changing role of schools today, yet broadening our view toward new models of public education for citizenship.",2004.0,3.77,199.0,279.0,Chomsky on Miseducation,"9780742529786 This collection of Chomsky's influential writings on education builds a larger understanding of our educational needs, starting with the changing role of schools today, yet broadening our view toward new models of public education for citizenship."
3473,9780747569121,0747569126,Sideways Arithmetic from Wayside School,Louis Sachar,Arithmetic,http://books.google.com/books/content?id=-oViPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"These Sideways Arithmetic problems may look puzzling at first, but you can use real maths to solve them, and the answers are perfectly logical. There are hints and clues, plus all the answers are in the book. Best of all, the kids you read about in the other titles about Wayside School are here to help you! Try solving the maths brainteasers in this book and you will be learning a lot of maths - but you will also be enjoying it and laughing too much to notice.",2004.0,3.87,96.0,3627.0,Sideways Arithmetic from Wayside School,"9780747569121 These Sideways Arithmetic problems may look puzzling at first, but you can use real maths to solve them, and the answers are perfectly logical. There are hints and clues, plus all the answers are in the book. Best of all, the kids you read about in the other titles about Wayside School are here to help you! Try solving the maths brainteasers in this book and you will be learning a lot of maths - but you will also be enjoying it and laughing too much to notice."
3475,9780747572930,0747572933,A Sound Like Someone Trying Not to Make a Sound,John Irving,Bedtime,http://books.google.com/books/content?id=45_bGAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When a child hears a noise in the night he gets up to investigate. He calls his father to help him and they work through all the things that the 'noise' could be, eventually realising that it is nothing to be scared of. An empowering book about over coming ones fears handled with brilliant originality by John Irving and Tatjana Hauptmann.",2004.0,4.01,32.0,664.0,A Sound Like Someone Trying Not to Make a Sound,"9780747572930 When a child hears a noise in the night he gets up to investigate. He calls his father to help him and they work through all the things that the 'noise' could be, eventually realising that it is nothing to be scared of. An empowering book about over coming ones fears handled with brilliant originality by John Irving and Tatjana Hauptmann."
3586,9780763628109,0763628107,The Dragon's Eye,Dugald Steer,Juvenile Fiction,http://books.google.com/books/content?id=kasIop1plB4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When twelve-year-old Daniel Cook and his sister, Beatrice, spend the summer at a special school run by their parents' eccentric former tutor, they are introduced to the secret study of dragonology and find themselves caught up in an evil plot.",2006.0,3.82,221.0,2139.0,The Dragon's Eye,"9780763628109 When twelve-year-old Daniel Cook and his sister, Beatrice, spend the summer at a special school run by their parents' eccentric former tutor, they are introduced to the secret study of dragonology and find themselves caught up in an evil plot."
3747,9780786808069,0786808063,Baby Einstein: Neighborhood Animals,Marilyn Singer;Julie Aigner-Clark,Juvenile Fiction,http://books.google.com/books/content?id=X9a4PAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Children will discover the exciting world of their own backyard in this introduction to familiar animals from cats and dogs to bugs and frogs. The combination of photographs, illustrations, and fun facts make this an accessible and delightful learning experience.",2001.0,3.89,16.0,180.0,Baby Einstein: Neighborhood Animals,"9780786808069 Children will discover the exciting world of their own backyard in this introduction to familiar animals from cats and dogs to bugs and frogs. The combination of photographs, illustrations, and fun facts make this an accessible and delightful learning experience."
3748,9780786808373,0786808373,Baby Einstein: Birds,Julie Aigner-Clark,Juvenile Fiction,http://books.google.com/books/content?id=0jxHPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Introducing your baby to birds, cats, dogs, and babies through fine art, illsutration and photographs. These books are a rare opportunity to expose little ones to a range of images on a single subject, from simple child's drawings and abstract art to playful photos. A brief text accompanies each image, introducing baby to some basic -- and sometimes playful -- information on the subjects.",2002.0,3.78,20.0,9.0,Baby Einstein: Birds,"9780786808373 Introducing your baby to birds, cats, dogs, and babies through fine art, illsutration and photographs. These books are a rare opportunity to expose little ones to a range of images on a single subject, from simple child's drawings and abstract art to playful photos. A brief text accompanies each image, introducing baby to some basic -- and sometimes playful -- information on the subjects."
3749,9780786808380,0786808381,Baby Einstein: Babies,Julie Aigner-Clark,Juvenile Fiction,http://books.google.com/books/content?id=jv4NAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Introduce your babies to birds, cats, dogs, and babies through fine art, illustration, and photographs. These books are a rare opportunity to expose little ones to a range of images on a single subject, from simple child's drawings and abstract art to playful photos. A brief text accompanies each image, introducing the baby to some basic -- and sometimes playful -- information about the subjects.",2002.0,4.03,20.0,29.0,Baby Einstein: Babies,"9780786808380 Introduce your babies to birds, cats, dogs, and babies through fine art, illustration, and photographs. These books are a rare opportunity to expose little ones to a range of images on a single subject, from simple child's drawings and abstract art to playful photos. A brief text accompanies each image, introducing the baby to some basic -- and sometimes playful -- information about the subjects."
3750,9780786808397,078680839X,Baby Einstein: Dogs,Julie Aigner-Clark,Juvenile Fiction,http://books.google.com/books/content?id=qut8tQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Introduce your baby to birds, cats, dogs, and babies through fine art, illustration, and photographs. These books are a rare opportunity to exopse little ones to a range of images on a single subject, from simple child's drawings and abstract art to playful photos. A brief text accompanies each image, introducing baby to some basic -- and sometimes playful -- information about the subjects.",2002.0,3.81,20.0,26.0,Baby Einstein: Dogs,"9780786808397 Introduce your baby to birds, cats, dogs, and babies through fine art, illustration, and photographs. These books are a rare opportunity to exopse little ones to a range of images on a single subject, from simple child's drawings and abstract art to playful photos. A brief text accompanies each image, introducing baby to some basic -- and sometimes playful -- information about the subjects."
